Comment,Designator,Footprint,LCSC,Quantity
MX_SW_solder,MX55,SW_MX_1u,,1
MX_SW_solder,MX7,SW_MX_1u,,1
MX_SW_solder,MX22,SW_MX_1u,,1
MX_SW_solder,MX13,SW_MX_1u,,1
MX_SW_solder,MX51,SW_MX_1u,,1
MX_SW_solder,MX50,SW_MX_1u,,1
MX_SW_solder,MX29,SW_MX_1u,,1
MX_SW_solder,MX39,SW_MX_1u,,1
MX_SW_solder,MX15,SW_MX_1u,,1
MX_SW_solder,MX45,SW_MX_1u,,1
MX_SW_solder,MX17,SW_MX_1u,,1
MX_SW_solder,MX6,SW_MX_1u,,1
MX_SW_solder,MX26,SW_MX_1u,,1
MX_SW_solder,MX46,SW_MX_1u,,1
MX_SW_solder,MX25,SW_MX_1u,,1
D_Small,D14,D_SOD-123,,1
D_Small,D53,D_SOD-123,,1
D_Small,D50,D_SOD-123,,1
D_Small,D48,D_SOD-123,,1
D_Small,D19,D_SOD-123,,1
D_Small,D16,D_SOD-123,,1
D_Small,D27,D_SOD-123,,1
D_Small,D24,D_SOD-123,,1
D_Small,D23,D_SOD-123,,1
D_Small,D17,D_SOD-123,,1
D_Small,D43,D_SOD-123,,1
D_Small,D10,D_SOD-123,,1
D_Small,D26,D_SOD-123,,1
D_Small,D49,D_SOD-123,,1
D_Small,D35,D_SOD-123,,1
D_Small,D58,D_SOD-123,,1
D_Small,D29,D_SOD-123,,1
D_Small,D22,D_SOD-123,,1
D_Small,D15,D_SOD-123,,1
D_Small,D52,D_SOD-123,,1
D_Small,D3,D_SOD-123,,1
D_Small,D28,D_SOD-123,,1
D_Small,D20,D_SOD-123,,1
D_Small,D41,D_SOD-123,,1
D_Small,D33,D_SOD-123,,1
D_Small,D8,D_SOD-123,,1
D_Small,D2,D_SOD-123,,1
D_Small,D45,D_SOD-123,,1
D_Small,D18,D_SOD-123,,1
D_Small,D31,D_SOD-123,,1
D_Small,D56,D_SOD-123,,1
D_Small,D44,D_SOD-123,,1
D_Small,D11,D_SOD-123,,1
D_Small,D61,D_SOD-123,,1
D_Small,D37,D_SOD-123,,1
D_Small,D39,D_SOD-123,,1
D_Small,D13,D_SOD-123,,1
D_Small,D38,D_SOD-123,,1
D_Small,D21,D_SOD-123,,1
D_Small,D46,D_SOD-123,,1
D_Small,D9,D_SOD-123,,1
D_Small,D30,D_SOD-123,,1
D_Small,D5,D_SOD-123,,1
D_Small,D54,D_SOD-123,,1
D_Small,D59,D_SOD-123,,1
D_Small,D1,D_SOD-123,,1
D_Small,D25,D_SOD-123,,1
D_Small,D57,D_SOD-123,,1
D_Small,D32,D_SOD-123,,1
D_Small,D47,D_SOD-123,,1
D_Small,D4,D_SOD-123,,1
D_Small,D42,D_SOD-123,,1
D_Small,D55,D_SOD-123,,1
D_Small,D51,D_SOD-123,,1
D_Small,D34,D_SOD-123,,1
D_Small,D7,D_SOD-123,,1
D_Small,D60,D_SOD-123,,1
D_Small,D6,D_SOD-123,,1
D_Small,D12,D_SOD-123,,1
D_Small,D36,D_SOD-123,,1
D_Small,D40,D_SOD-123,,1
